Country Name;gdp_growth
Uruguay;2,591338692
United States;2,21701033
Uzbekistan;4,461539733
St. Vincent and the Grenadines;1,000357879
Venezuela, RB;
British Virgin Islands;
Virgin Islands (U.S.);-1,696542894
Vietnam;6,81224566
Vanuatu;4,4
World;3,19656184
Samoa;1,015561822
Kosovo;4,226087389
Yemen, Rep.;-5,942319504
South Africa;1,414512626
Zambia;3,403168851
Zimbabwe;4,704035348
